director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Jyoti Singh,Chandrachur Singh, Charu Vyas, Rahul Godara,Drama,yadvi – the dignified princess,Chandrachur Singh  Charu Vyas  Rahul Godara Jyoti Singh Drama
Habib Faisal,Aadar Jain, Anya Singh, Sachin,Drama Music,qaidi band,Aadar Jain  Anya Singh  Sachin Habib Faisal Drama Music
Milan Lutharia,Ajay Devgn, Emraan Hashmi, Vidyut Jammwal,Action Thriller,baadshaho,Ajay Devgn  Emraan Hashmi  Vidyut Jammwal Milan Lutharia Action Thriller
R. S. Prasanna,Ayushmann Khurrana, Bhumi Pednekar, Brijendra Kala,Romance Comedy,shubh mangal saavdhan,Ayushmann Khurrana  Bhumi Pednekar  Brijendra Kala R. S. Prasanna Romance Comedy
Shreyas Talpade,Sunny Deol, Shreyas Talpade, Bobby Deol,Comedy,poster boys,Sunny Deol  Shreyas Talpade  Bobby Deol Shreyas Talpade Comedy
Hansal Mehta,Kangana Ranaut, Sohum Shah, Hiten Kumar,Drama Crime Thriller,simran,Kangana Ranaut  Sohum Shah  Hiten Kumar Hansal Mehta Drama Crime Thriller
Ranjit Tiwari,Farhan Akhtar, Diana Penty, Deepak Dobriyal,Drama Action Thriller,lucknow central,Farhan Akhtar  Diana Penty  Deepak Dobriyal Ranjit Tiwari Drama Action Thriller
Sanjay Chhel,Rishi Kapoor, Paresh Rawal, Vir Das,Comedy/drama,patel ki punjabi shaadi,Rishi Kapoor  Paresh Rawal  Vir Das Sanjay Chhel Comedy/drama
Amit Masurkar,Rajkummar Rao, Pankaj Tripathi, Anjali Patil,Crime Action Drama,newton,Rajkummar Rao  Pankaj Tripathi  Anjali Patil Amit Masurkar Crime Action Drama
Omung Kumar,Sanjay Dutt, Aditi Rao Hydari, Sidhant Gupta,Action Drama,bhoomi,Sanjay Dutt  Aditi Rao Hydari  Sidhant Gupta Omung Kumar Action Drama
Dhwanil Mehta,Kunaal Roy Kapur, Archana Shastry, Elena Kazan,Horror Thriller,the final exit,Kunaal Roy Kapur  Archana Shastry  Elena Kazan Dhwanil Mehta Horror Thriller
Shailendra Pandey,Govind Namdev, Aman Verma, Vedita Pratap Singh,Drama,jd,Govind Namdev  Aman Verma  Vedita Pratap Singh Shailendra Pandey Drama
Apoorva Lakhia,Shraddha Kapoor, Sharman Joshi, Siddhanth Kapoor,Crime Drama,haseena parkar,Shraddha Kapoor  Sharman Joshi  Siddhanth Kapoor Apoorva Lakhia Crime Drama
David Dhawan,Varun Dhawan, Jacqueline Fernandez, Taapsee Pannu,Action Comedy Drama Romance,judwaa 2,Varun Dhawan  Jacqueline Fernandez  Taapsee Pannu David Dhawan Action Comedy Drama Romance
Milind Dhaimade,Barun Sobti & Vishal Malhotra,unknown,unknown,Romantic comedy,tu hai mera sunday,Barun Sobti & Vishal Malhotra unknown unknown Milind Dhaimade Romantic comedy
Raja Krishna Menon,Saif Ali Khan, Padmapriya Janakiraman & Dhanish Karthik,unknown,Comedy,chef,Saif Ali Khan  Padmapriya Janakiraman & Dhanish Karthik unknown Raja Krishna Menon Comedy
Arvind Tripathi,Rajpal Yadav, Sudha Chandran, Bharati Sharma,Drama,babuji ek ticket bambai,Rajpal Yadav  Sudha Chandran  Bharati Sharma Arvind Tripathi Drama
Arjin Uppal,Gulshan Grover, Rahul Dev, Afiq Muiz,Action,main terrorist nahi hoon,Gulshan Grover  Rahul Dev  Afiq Muiz Arjin Uppal Action
Sattwik Mohanty,Jimmy Sheirgill, Taaha Shah & Himansh Kohli,unknown,Drama,ranchi diaries,Jimmy Sheirgill  Taaha Shah & Himansh Kohli unknown Sattwik Mohanty Drama
Advait Chandan,Zaira Wasim, Meher Vij & Aamir Khan,unknown,Drama Music,secret superstar,Zaira Wasim  Meher Vij & Aamir Khan unknown Advait Chandan Drama Music
Rohit Shetty,Ajay Devgn, Parineeti Chopra, Tabu,Comedy Horror Action Fantasy,golmaal again,Ajay Devgn  Parineeti Chopra  Tabu Rohit Shetty Comedy Horror Action Fantasy
Howard Rosemeyer,Kalki Koechlin, Richa Chaddha,unknown,Drama,jia aur jia,Kalki Koechlin  Richa Chaddha unknown Howard Rosemeyer Drama
Atanu Mukherjee,Manoj Bajpayee, Smita Tambe, Kumud Mishra,Drama,rukh,Manoj Bajpayee  Smita Tambe  Kumud Mishra Atanu Mukherjee Drama
Milind Rau,Siddharth, Andrea Jeremiah & Atul Kulkarni,unknown,Thriller Drama,the house next door,Siddharth  Andrea Jeremiah & Atul Kulkarni unknown Milind Rau Thriller Drama
Rakhee Sandilya,Kalki Koechlin, Sumeet Vyas, Hitesh Malhan,Western,ribbon,Kalki Koechlin  Sumeet Vyas  Hitesh Malhan Rakhee Sandilya Western
Ratnaa Sinha,Rajkummar Rao, Kriti Kharbanda,unknown,Romance Family,shaadi mein zaroor aana,Rajkummar Rao  Kriti Kharbanda unknown Ratnaa Sinha Romance Family
Tanuja Chandra,Irrfan Khan, Parvathy, Brijendra Kala,Comedy Drama Romance,qarib qarib singlle,Irrfan Khan  Parvathy  Brijendra Kala Tanuja Chandra Comedy Drama Romance
VK Choudhary,Amit Kumar Vashisth, Teena Singh & Preeti Sharma,unknown,Thriller Drama,the window,Amit Kumar Vashisth  Teena Singh & Preeti Sharma unknown VK Choudhary Thriller Drama
